timestamp,open,high,low,close,volume
2022-12-30 09:00:00+00:00,16462.0,16494.5,16445.5,16494.0,5892400
2022-12-30 08:00:00+00:00,16539.0,16539.0,16424.0,16462.0,19083200
2022-12-30 07:00:00+00:00,16540.5,16562.0,16523.0,16539.0,5373000
2022-12-30 06:00:00+00:00,16596.5,16596.5,16505.5,16540.5,11444700
2022-12-30 05:00:00+00:00,16587.5,16596.5,16580.0,16596.5,2362600
2022-12-30 04:00:00+00:00,16584.5,16596.5,16574.0,16587.5,2611000
2022-12-30 03:00:00+00:00,16586.5,16599.0,16572.0,16584.5,5764000
2022-12-30 02:00:00+00:00,16608.5,16609.5,16582.5,16586.5,4486500
2022-12-30 01:00:00+00:00,16620.0,16628.0,16603.5,16608.5,4018300
2022-12-30 00:00:00+00:00,16607.0,16636.0,16601.5,16620.0,5513600
2022-12-29 23:00:00+00:00,16593.0,16615.0,16591.5,16607.0,5123700
2022-12-29 22:00:00+00:00,16604.0,16609.0,16587.5,16593.0,9097300
2022-12-29 21:00:00+00:00,16599.0,16609.0,16555.5,16604.0,11291600
2022-12-29 20:00:00+00:00,16622.0,16628.5,16577.0,16599.0,4905900
2022-12-29 19:00:00+00:00,16604.5,16622.5,16594.0,16622.0,3239100
2022-12-29 18:00:00+00:00,16615.0,16622.5,16589.0,16604.5,3581600
2022-12-29 17:00:00+00:00,16595.5,16639.0,16595.0,16615.0,3397700
2022-12-29 16:00:00+00:00,16609.0,16642.5,16595.5,16595.5,6003000
2022-12-29 15:00:00+00:00,16603.5,16645.0,16584.0,16609.0,10695300
2022-12-29 14:00:00+00:00,16607.5,16632.5,16580.5,16603.5,8218200
2022-12-29 13:00:00+00:00,16584.5,16610.0,16583.5,16607.5,5534000
2022-12-29 12:00:00+00:00,16580.5,16598.5,16578.0,16584.5,5229400
2022-12-29 11:00:00+00:00,16580.0,16591.5,16569.0,16580.5,4334300
2022-12-29 10:00:00+00:00,16523.0,16609.0,16523.5,16580.0,10948400
2022-12-29 09:00:00+00:00,16547.0,16558.0,16510.5,16523.0,6351000
2022-12-29 08:00:00+00:00,16552.5,16560.0,16530.0,16547.0,4464700
